attraction_id,name,category,latitude,longitude,avg_duration_hours,avg_cost,outdoor,popularity_score,best_season,accessibility,tourist_density,safety_rating
89,Mount Lavinia Beach,beach,6.8378,79.8628,3.0,1000,True,0.78,3,0.92,0.75,0.85
90,Dutch Hospital Shopping Colombo,city,6.9344,79.8431,2.0,1500,False,0.75,3,0.95,0.65,0.92
91,Pettah Market,city,6.9389,79.8542,2.0,500,True,0.72,3,0.95,0.85,0.78
92,Red Mosque (Jami Ul-Alfar),historical,6.9389,79.8533,1.0,0,False,0.75,3,0.92,0.75,0.85
93,St. Anthony's Shrine Kochchikade,historical,6.9522,79.8597,1.0,0,False,0.65,3,0.92,0.55,0.88
94,St. Mary's Cathedral Jaffna,historical,9.6644,80.0086,1.0,0,False,0.55,3,0.85,0.4,0.85
95,Nallur Kandaswamy Kovil,temple,9.6753,80.0269,1.5,200,False,0.85,3,0.78,0.65,0.92
96,Nagadeepa Purana Vihara,temple,9.6153,79.7667,3.0,1500,False,0.72,3,0.62,0.5,0.85
97,Thiruketheeswaram Kovil,temple,8.9853,79.9022,1.5,200,False,0.65,3,0.65,0.45,0.85
98,Koneswaram Temple Trincomalee,temple,8.5800,81.2503,2.0,200,True,0.85,3,0.78,0.7,0.92
99,Embekke Devalaya,temple,7.2461,80.5733,1.5,300,False,0.65,3,0.65,0.45,0.88
100,Lankatilaka Vihara,temple,7.2511,80.5811,1.5,300,True,0.68,3,0.65,0.45,0.88
101,Gadaladeniya Temple,temple,7.2589,80.5572,1.0,200,False,0.62,3,0.65,0.4,0.88
102,Aluvihare Rock Temple,temple,7.4836,80.6189,1.5,200,False,0.72,3,0.78,0.55,0.9
103,Ridi Viharaya,temple,7.6792,80.5856,1.5,200,False,0.55,3,0.65,0.35,0.85
104,Kalutara Bodhiya,temple,6.5847,79.9594,1.5,200,False,0.72,3,0.92,0.65,0.9
105,Kande Viharaya,temple,6.4264,80.0089,1.5,200,True,0.65,3,0.85,0.45,0.88
106,Seema Malakaya,temple,6.9189,79.8553,1.0,100,False,0.68,3,0.95,0.65,0.9
107,Isurumuniya Vihara,temple,8.3275,80.3964,1.5,200,True,0.78,3,0.78,0.65,0.9
108,Ruwanwelisaya,historical,8.3494,80.3964,1.5,200,True,0.88,3,0.78,0.8,0.92
109,Thuparamaya,historical,8.3536,80.3961,1.0,200,True,0.78,3,0.78,0.65,0.92
110,Jetavanaramaya,historical,8.3503,80.4036,1.5,200,True,0.85,3,0.78,0.65,0.9
111,Abhayagiri Dagaba,historical,8.3608,80.3964,1.5,200,True,0.82,3,0.78,0.65,0.9
112,Sri Maha Bodhi Tree,historical,8.3439,80.3961,1.0,200,True,0.92,3,0.78,0.85,0.92
113,Tissa Wewa,cultural,8.3331,80.3911,1.0,0,True,0.65,3,0.85,0.45,0.88
114,Parakrama Samudra,cultural,7.9333,81.0000,1.5,0,True,0.72,3,0.78,0.5,0.88
115,Kandy Lake,cultural,7.2925,80.6417,1.0,0,True,0.85,3,0.95,0.85,0.95
116,Beira Lake,cultural,6.9242,79.8533,1.0,0,True,0.55,3,0.95,0.55,0.85
117,Dambulla Market,cultural,7.8606,80.6517,1.5,200,True,0.55,3,0.85,0.55,0.85
118,Matale Spice Gardens,cultural,7.4675,80.6234,2.0,1500,True,0.72,3,0.85,0.55,0.88
119,Bandaranaike Memorial National Conference Hall,city,6.9039,79.8606,1.0,500,False,0.55,3,0.92,0.45,0.92
120,Old Parliament Building Colombo,historical,6.9344,79.8425,1.0,0,False,0.62,3,0.92,0.5,0.9
121,Wolvendaal Church,historical,6.9408,79.8556,1.0,200,False,0.55,3,0.85,0.4,0.85
122,Colombo Lighthouse,historical,6.9344,79.8403,0.5,0,True,0.62,3,0.92,0.55,0.88
123,Arcade Independence Square,city,6.9061,79.8625,2.0,500,False,0.72,3,0.95,0.65,0.95
124,Mount Lavinia Hotel,city,6.8331,79.8664,2.0,2000,True,0.65,3,0.92,0.55,0.92
125,Crow Island Beach Park,beach,6.9686,79.8650,1.5,0,True,0.55,3,0.88,0.5,0.78
126,Diyatha Uyana,city,6.8867,79.9222,2.0,0,True,0.65,3,0.92,0.65,0.88
127,Waters Edge Battaramulla,city,6.8853,79.9183,2.5,2000,True,0.62,3,0.92,0.5,0.92
128,Galle Face Hotel,city,6.9258,79.8447,1.5,1500,True,0.72,3,0.95,0.55,0.92
129,Wellawatte Beach,beach,6.8742,79.8589,2.0,0,True,0.55,3,0.85,0.65,0.78
130,Nelum Pokuna Theatre,city,6.9114,79.8614,2.0,1500,False,0.55,3,0.92,0.45,0.92
131,Bahirawakanda Vihara Buddha Statue,temple,7.3000,80.6275,1.5,200,True,0.78,3,0.85,0.65,0.9
132,Udawattekele Sanctuary,national_park,7.2978,80.6433,2.5,600,True,0.65,3,0.78,0.45,0.85
133,Royal Palace Kandy,historical,7.2937,80.6411,1.5,1500,False,0.78,3,0.85,0.75,0.92
134,Ceylon Tea Museum Hantana,cultural,7.2697,80.6286,2.0,1000,False,0.72,3,0.78,0.55,0.9
135,Kandy View Point,mountain,7.3019,80.6261,1.0,0,True,0.72,3,0.78,0.65,0.85
136,Helga's Folly,cultural,7.2942,80.6483,1.5,1500,False,0.62,3,0.85,0.4,0.88
137,Degaldoruwa Cave Temple,temple,7.3017,80.6856,1.5,200,False,0.55,3,0.72,0.35,0.88
138,Gampola Saliyalapura,historical,7.1647,80.5728,1.5,200,True,0.5,3,0.78,0.3,0.85
139,Dunhinda Falls,waterfall,7.0153,81.0964,1.5,200,True,0.75,2,0.72,0.55,0.85
140,Hanthana Mountain Range,mountain,7.2497,80.6081,4.0,500,True,0.68,3,0.62,0.55,0.78
141,Wales Park Kandy,city,7.2911,80.6347,1.0,0,True,0.55,3,0.92,0.45,0.92
142,Lankarama,historical,8.3658,80.3792,1.0,200,True,0.62,3,0.78,0.45,0.9
143,Kuttam Pokuna Twin Ponds,historical,8.3603,80.4039,1.0,200,True,0.72,3,0.78,0.55,0.9
144,Samadhi Buddha Statue Anuradhapura,historical,8.3589,80.4014,1.0,200,True,0.78,3,0.78,0.65,0.92
145,Mirisaweti Stupa,historical,8.3392,80.3878,1.0,200,True,0.72,3,0.78,0.55,0.92
146,Magul Uyana,historical,8.3464,80.3992,0.5,0,True,0.55,3,0.78,0.35,0.88
147,Vessagiriya,historical,8.3197,80.3956,1.0,200,True,0.55,3,0.72,0.35,0.88
148,Gal Vihara,historical,7.9647,81.0058,1.5,1500,True,0.85,3,0.78,0.75,0.92
149,Royal Palace Polonnaruwa,historical,7.9389,81.0017,1.5,1500,True,0.78,3,0.78,0.65,0.9
150,Rankoth Vehera,historical,7.9519,81.0050,1.0,200,True,0.72,3,0.78,0.5,0.92
151,Vatadage Polonnaruwa,historical,7.9472,81.0014,1.0,1500,True,0.82,3,0.78,0.65,0.92
152,Lankatilaka Image House,historical,7.9558,81.0044,1.0,200,True,0.72,3,0.78,0.5,0.9
153,Kiri Vehera Polonnaruwa,historical,7.9528,81.0022,0.5,200,True,0.65,3,0.78,0.45,0.9
154,Medirigiriya Vatadage,historical,8.1431,80.9964,1.5,500,True,0.55,3,0.65,0.3,0.88
155,Somawathiya Chaitya,temple,8.0667,81.0833,1.5,200,True,0.55,3,0.65,0.4,0.88
156,Kurunegala Lake,cultural,7.4858,80.3636,1.5,0,True,0.62,3,0.92,0.55,0.92
157,Athugala Elephant Rock,mountain,7.4806,80.3700,2.0,200,True,0.65,3,0.85,0.55,0.85
158,Ibbagamuwa Yapahuwa Rock Fortress,historical,7.8168,80.3107,2.5,1500,True,0.72,3,0.72,0.45,0.85
159,Panduwasnuwara Ancient City,historical,7.6847,80.0033,2.0,1500,True,0.55,3,0.65,0.3,0.85
160,Padeniya Raja Maha Viharaya,temple,7.7028,80.1928,1.0,200,False,0.55,3,0.72,0.35,0.88
161,Ridigama Temple,temple,7.6792,80.5856,1.5,200,False,0.5,3,0.65,0.3,0.85
162,Arankele Forest Monastery,temple,7.5569,80.4456,2.0,200,True,0.55,3,0.65,0.3,0.85
163,Bible Rock (Bathalegala),mountain,7.2333,80.5667,5.0,500,True,0.65,3,0.55,0.45,0.78
164,Utuwankanda (Saradiel Village),cultural,7.2347,80.4306,1.5,1000,True,0.55,3,0.78,0.4,0.85
165,Beli Lena Kithulgala,historical,6.9928,80.4117,1.5,500,True,0.55,2,0.55,0.35,0.78
166,Millennium Elephant Foundation,wildlife,7.3022,80.3947,2.0,3000,True,0.72,3,0.85,0.55,0.88
167,Galle Lighthouse,historical,6.0258,80.2186,0.5,0,True,0.78,3,0.92,0.65,0.9
168,Galle Maritime Museum,cultural,6.0269,80.2178,1.5,500,False,0.62,3,0.92,0.55,0.92
169,Japanese Peace Pagoda Unawatuna,temple,6.0028,80.2419,1.0,0,True,0.72,1,0.85,0.55,0.88
170,Sea Turtle Hatchery Kosgoda,wildlife,6.3389,80.0067,1.5,1500,True,0.78,1,0.85,0.65,0.92
171,Stilt Fishermen Koggala,cultural,5.9889,80.3275,0.5,1000,True,0.85,1,0.92,0.85,0.85
172,Kataluwa Purvarama Temple,temple,5.9811,80.4106,1.0,200,False,0.5,3,0.72,0.3,0.85
173,Yatagala Raja Maha Viharaya,temple,6.0214,80.2614,1.0,200,False,0.55,3,0.78,0.35,0.88
174,Hiyare Reservoir,national_park,6.0822,80.2750,2.0,500,True,0.55,3,0.65,0.3,0.82
175,Rumassala Hill,mountain,6.0142,80.2308,2.0,200,True,0.62,3,0.72,0.4,0.85
176,Star Fort Matara,historical,5.9489,80.5417,1.0,200,False,0.55,3,0.85,0.4,0.88
177,Matara Dutch Fort,historical,5.9483,80.5453,1.0,0,True,0.55,3,0.85,0.45,0.88
178,Polhena Beach,beach,5.9411,80.5300,3.0,500,True,0.62,1,0.78,0.55,0.85
179,Madiha Beach,beach,5.9408,80.5717,3.0,500,True,0.65,1,0.78,0.55,0.85
180,Weherahena Temple,temple,5.9636,80.5733,1.0,200,False,0.55,3,0.78,0.4,0.88
181,Dondra Head Lighthouse,historical,5.9239,80.5919,1.0,200,True,0.65,3,0.78,0.45,0.85
182,Wewurukannala Vihara,temple,6.0414,80.6125,1.0,200,False,0.62,3,0.78,0.4,0.88
183,Sigiriya Museum,cultural,7.9528,80.7522,1.0,500,False,0.65,3,0.85,0.55,0.92
184,Kandalama Reservoir,cultural,7.8642,80.7128,1.5,0,True,0.55,3,0.72,0.35,0.85
185,Heritance Kandalama Hotel,cultural,7.8694,80.7236,1.5,2500,True,0.72,3,0.78,0.4,0.92
186,Namal Uyana Pink Quartz Mountain,mountain,8.0392,80.6647,3.0,500,True,0.65,3,0.65,0.4,0.85
187,Pidurangala Royal Cave Temple,temple,7.9706,80.7567,1.0,500,True,0.62,3,0.65,0.5,0.85
188,Kaludiya Pokuna,historical,8.3458,80.5111,1.5,200,True,0.55,3,0.65,0.3,0.85
189,Pedro Tea Estate,cultural,6.9489,80.8131,1.5,1000,True,0.78,1,0.85,0.65,0.92
190,Bluefield Tea Gardens,cultural,6.9856,80.6822,1.5,1000,True,0.72,1,0.85,0.55,0.92
191,Galway's Land National Park,national_park,6.9719,80.7842,1.5,1000,True,0.55,1,0.78,0.35,0.85
192,Ambewela Farm,cultural,6.8806,80.8228,2.0,1000,True,0.65,1,0.78,0.5,0.9
193,Sita Amman Temple,temple,6.9261,80.7903,1.0,200,False,0.62,1,0.85,0.45,0.88
194,Single Tree Hill,mountain,6.9456,80.7572,2.0,0,True,0.55,1,0.65,0.4,0.82
195,Lover's Leap Falls Nuwara Eliya,waterfall,6.9744,80.7886,1.5,0,True,0.62,1,0.65,0.45,0.82
196,Moon Plains,mountain,6.9617,80.8175,3.0,1500,True,0.65,1,0.65,0.45,0.85
197,Damro Labookellie Tea Centre,cultural,7.0028,80.7361,1.0,500,True,0.72,1,0.92,0.55,0.92
198,Casuarina Beach,beach,9.8025,79.7800,3.0,0,True,0.62,2,0.65,0.4,0.82
199,Keerimalai Springs,cultural,9.8197,80.0144,1.5,0,True,0.55,2,0.65,0.35,0.82
200,Dambakola Patuna,historical,9.8131,80.0833,1.0,200,True,0.5,2,0.62,0.3,0.82
201,Point Pedro,city,9.8192,80.2400,2.0,0,True,0.55,2,0.65,0.3,0.82
202,Delft Island,historical,9.5208,79.6864,5.0,1500,True,0.55,2,0.55,0.25,0.78
203,Jaffna Public Library,cultural,9.6644,80.0167,1.0,0,False,0.65,3,0.85,0.4,0.85
204,Marble Beach Trincomalee,beach,8.5394,81.2403,3.0,500,True,0.72,2,0.78,0.5,0.85
205,Fort Frederick Trincomalee,historical,8.5808,81.2492,1.5,200,True,0.65,2,0.78,0.5,0.85
206,Hot Wells Kanniya,cultural,8.6244,81.1981,1.0,200,True,0.55,2,0.78,0.45,0.82
207,Whale Watching Trincomalee,wildlife,8.5874,81.2152,4.0,6000,True,0.78,2,0.65,0.55,0.78
208,Lover's Leap Trincomalee,mountain,8.5811,81.2486,0.5,0,True,0.55,2,0.78,0.35,0.78
209,Little Adam's Peak,mountain,6.8617,81.0628,2.0,0,True,0.85,2,0.78,0.75,0.85
210,Ravana Cave,historical,6.8650,81.0517,1.0,500,True,0.62,2,0.65,0.45,0.78
211,Demodara Nine Arch Spiral,cultural,6.8814,81.0789,1.0,0,True,0.65,2,0.72,0.55,0.85
212,Halpewatte Tea Factory,cultural,6.8714,81.0500,1.5,1000,False,0.72,2,0.78,0.55,0.92
213,Whale Watching Mirissa,wildlife,5.9462,80.4586,5.0,6000,True,0.85,1,0.65,0.75,0.78
214,Coconut Tree Hill Mirissa,cultural,5.9447,80.4639,0.5,0,True,0.78,1,0.85,0.85,0.85
215,Secret Beach Mirissa,beach,5.9456,80.4517,2.5,500,True,0.65,1,0.72,0.5,0.82
216,Parrot Rock Mirissa,beach,5.9458,80.4575,1.0,0,True,0.62,1,0.78,0.55,0.82
217,Yala Block 5 (Lunugamvehera),national_park,6.4500,81.2167,4.0,5000,True,0.65,1,0.55,0.35,0.82
218,Tangalle Goyambokka Beach,beach,6.0119,80.7708,3.0,500,True,0.72,1,0.78,0.45,0.85
219,Hummanaya Blowhole,cultural,6.0083,80.7961,1.0,500,True,0.62,1,0.78,0.4,0.85
220,Rekawa Beach Turtle Watching,wildlife,6.0497,80.8519,2.0,1500,True,0.65,2,0.72,0.45,0.82
221,Kalametiya Bird Sanctuary,wildlife,6.0792,80.9300,2.5,1500,True,0.55,2,0.65,0.35,0.82
222,Ussangoda National Park,national_park,6.0953,80.9789,2.0,1000,True,0.55,2,0.65,0.3,0.82
223,Mulkirigala Buddhist Cave Temple,temple,6.2667,80.7667,2.0,1000,True,0.65,3,0.65,0.4,0.88
224,Munneswaram Temple,temple,7.5833,79.8278,1.5,200,False,0.55,3,0.72,0.35,0.85
225,St. Anne's Church Talawila,historical,8.0411,79.7281,1.5,0,False,0.62,3,0.78,0.4,0.85
226,Chilaw Beach,beach,7.5747,79.7950,2.0,0,True,0.55,1,0.72,0.4,0.78
227,Anawilundawa Wetland Sanctuary,wildlife,7.6989,79.8275,2.5,1000,True,0.55,2,0.65,0.3,0.82
228,Kalpitiya Dolphin Watching,wildlife,8.2333,79.7667,4.0,5000,True,0.78,1,0.65,0.55,0.78
229,Riverston Knuckles,mountain,7.5256,80.7619,4.0,500,True,0.65,1,0.55,0.4,0.78
230,Pitawala Pathana,mountain,7.5333,80.7500,2.0,500,True,0.65,1,0.55,0.4,0.78
231,Sera Ella Falls,waterfall,7.5333,80.8167,1.5,200,True,0.55,2,0.55,0.3,0.78
232,Aberdeen Falls,waterfall,6.8500,80.5333,2.0,200,True,0.62,2,0.55,0.35,0.78
233,Laxapana Falls,waterfall,6.8833,80.5167,1.5,200,True,0.65,2,0.65,0.4,0.82
234,Bopath Ella Falls,waterfall,6.8167,80.3500,1.5,200,True,0.62,2,0.78,0.45,0.82
235,Gartmore Falls,waterfall,6.8167,80.6,1.0,0,True,0.55,2,0.55,0.3,0.78
236,Kuruwita Bopath Falls,waterfall,6.8242,80.3850,1.5,200,True,0.62,2,0.72,0.4,0.82
237,Diyaluma Top Pools,waterfall,6.7322,81.0383,3.0,200,True,0.78,2,0.55,0.55,0.72
238,Saman Devalaya Ratnapura,temple,6.6831,80.4072,1.0,200,False,0.55,3,0.78,0.35,0.88
239,Pothgul Vihara,temple,7.9417,81.0019,1.0,200,True,0.62,3,0.72,0.4,0.88
240,Sankhapala Rajamaha Viharaya,temple,6.4633,80.7519,1.0,200,True,0.5,3,0.65,0.3,0.85
241,National Museum Ratnapura,cultural,6.6789,80.3869,1.5,500,False,0.55,3,0.78,0.35,0.88
242,Adisham Bungalow Haputale,cultural,6.7708,80.9528,1.5,500,False,0.65,1,0.78,0.4,0.9
243,Lipton Tea Estate Dambatenne,cultural,6.8178,80.9767,1.5,500,True,0.65,1,0.78,0.45,0.9
244,Diyaluma Pools (Upper),waterfall,6.7311,81.0392,3.0,200,True,0.72,2,0.55,0.55,0.75
245,Pasikuda Lagoon,beach,7.9272,81.5664,3.0,500,True,0.62,2,0.78,0.45,0.82
246,Kallady Bridge Batticaloa,city,7.7081,81.7036,0.5,0,True,0.55,2,0.85,0.4,0.82
247,Batticaloa Lighthouse,historical,7.7136,81.7028,1.0,200,True,0.55,2,0.78,0.35,0.82
248,Pottuvil Lagoon,wildlife,6.8722,81.8317,2.5,1500,True,0.62,2,0.65,0.35,0.78
249,Whiskey Point Arugam Bay,beach,6.8972,81.8461,3.0,0,True,0.78,2,0.65,0.55,0.8
250,Peanut Farm Beach,beach,6.8244,81.8367,3.0,0,True,0.72,2,0.62,0.45,0.78
251,Lahugala National Park,national_park,6.9222,81.7472,3.5,4500,True,0.55,2,0.55,0.3,0.78
252,Magul Maha Viharaya,temple,6.9319,81.7444,1.0,200,True,0.5,3,0.62,0.25,0.85
253,Gal Oya Senanayake Samudraya,cultural,7.2167,81.4833,2.5,0,True,0.55,3,0.55,0.3,0.82
254,Brief Garden Bevis Bawa,cultural,6.5067,80.0078,2.0,1500,True,0.65,3,0.78,0.4,0.92
255,Madu Ganga Mangrove,wildlife,6.3047,80.0489,3.0,2500,True,0.78,1,0.78,0.55,0.85
256,Ahungalla Beach,beach,6.3294,80.0150,3.0,500,True,0.62,1,0.78,0.4,0.82
257,Induruwa Beach,beach,6.3697,80.0033,3.0,500,True,0.65,1,0.78,0.4,0.82
258,Beruwala Beach,beach,6.4789,79.9831,3.0,500,True,0.68,1,0.85,0.55,0.85
259,Wadduwa Beach,beach,6.6608,79.9269,3.0,500,True,0.65,1,0.85,0.45,0.85
